Inspecting matches table...
Table found → dumping data...
 id  | stake_amount | num_players |  status  | p1_user_id | p2_user_id | p3_user_id | winner_user_id |          created_at           |          finished_at          
 143 |            0 |           3 | FINISHED |          3 |          2 |          1 |              3 | 2025-11-10 10:04:24.36747+00  | 2025-11-10 10:06:41.780782+00
 142 |            0 |           3 | FINISHED |          3 |          2 |          1 |                | 2025-11-10 09:26:56.653225+00 | 
 141 |            0 |           3 | ACTIVE   |            |          2 |          1 |                | 2025-11-09 22:07:53.017025+00 | 
 140 |            0 |           3 | FINISHED |            |          2 |          3 |                | 2025-11-09 21:49:39.635757+00 | 
 139 |            0 |           3 | FINISHED |          3 |          2 |          1 |                | 2025-11-09 21:26:57.694816+00 | 
 138 |            0 |           3 | FINISHED |          3 |          2 |          1 |                | 2025-11-09 21:24:53.758986+00 | 
 137 |            0 |           3 | FINISHED |          3 |          2 |          1 |                | 2025-11-09 21:12:29.467593+00 | 
 136 |            0 |           3 | FINISHED |          1 |          3 |          2 |                | 2025-11-09 20:58:21.902757+00 | 
 135 |            0 |           3 | FINISHED |          3 |          2 |          1 |                | 2025-11-09 20:33:24.246647+00 | 
 134 |            0 |           3 | FINISHED |          3 |          2 |          1 |                | 2025-11-09 19:50:17.301379+00 | 
 133 |            0 |           3 | FINISHED |          1 |            |            |                | 2025-11-09 18:17:18.136122+00 | 2025-11-09 18:19:10.679337+00
 132 |            0 |           3 | FINISHED |          1 |            |            |                | 2025-11-09 18:05:50.668179+00 | 2025-11-09 18:08:14.830422+00
 131 |            0 |           3 | FINISHED |          3 |            |            |                | 2025-11-09 15:32:52.238008+00 | 2025-11-09 15:35:24.645119+00
 130 |            0 |           3 | FINISHED |          1 |          2 |          3 |                | 2025-11-09 15:20:36.087215+00 | 
 129 |            0 |           3 | FINISHED |            |            |          1 |                | 2025-11-09 14:56:05.283877+00 | 2025-11-09 14:58:02.27874+00
 128 |            0 |           3 | ACTIVE   |            |          2 |          3 |                | 2025-11-09 14:42:21.449238+00 | 
 127 |            0 |           3 | FINISHED |          3 |          2 |          1 |                | 2025-11-09 14:28:41.472255+00 | 
 126 |            0 |           2 | FINISHED |          1 |            |          3 |                | 2025-11-09 14:09:51.696762+00 | 
 125 |            0 |           3 | FINISHED |          1 |          2 |            |                | 2025-11-09 13:44:16.140283+00 | 
 124 |            0 |           3 | FINISHED |          3 |          2 |            |                | 2025-11-09 12:57:44.203027+00 | 
 123 |            0 |           3 | FINISHED |          3 |          2 |          1 |                | 2025-11-09 12:25:08.916817+00 | 
 122 |            0 |           2 | ACTIVE   |            |          2 |          3 |                | 2025-11-09 11:51:50.058344+00 | 
